-1,15.74901825,0,-6,0,0
1,29.79572499,-4,80,0,3
1,30.19242759,-7,88,0,2
1,30.71595022,-5,74,0,3
1,36.31662175,31,97,0,2
1,46.33106901,-6,70,0,3
1,52.22992457,-4,34,0,1
1,61.0483784,-9,52,0,4
1,62.31340803,-9,92,0,2
1,62.42923444,-4,47,0,4
1,62.88805494,4,74,0,3
-1,66.30025924,0,-1,0,0
1,67.07281282,-4,85,0,3
1,67.3968456,-4,80,0,3
1,72.32053835,-1,44,0,4
-1,75.45009626,-9,-3,0,0
-1,79.53860269,0,-1,0,0
1,82.00106471,-5,94,0,2
1,85.05084296,-4,71,0,3
1,85.05145915,-8,66,0,3
-1,86.40921591,-5,-1,0,0
1,90.27392218,27,95,0,2
1,97.56134129,-1,93,0,2
1,99.09729234,-2,47,0,4
1,100.0952865,-5,85,0,3
1,104.8284693,-1,55,0,4
1,105.1781073,-7,96,0,2
-1,106.412017,-3,-1,0,0
1,114.8141732,0,28,0,1
1,115.2148578,-6,47,0,4
-1,132.2228279,12,-5,0,0
1,146.3576834,-5,-9,0,0
-1,158.5784347,-4,-2,0,0
1,159.7248447,-3,0,0,0
1,161.1766006,-4,20,0,0
1,165.7531344,0,32,0,1
-1,176.148875,-2,-1,0,0
1,181.4509647,-1,30,0,1
1,186.5178245,-4,51,0,4
1,195.1514893,44,83,0,3
1,198.2446789,0,9,0,0
1,209.2342289,-3,-8,0,0
1,213.8367404,-5,0,0,0
1,215.1021415,-5,50,0,4
1,215.5905145,-7,23,0,1
-1,221.9759827,0,-9,0,0
1,222.5359103,-4,88,0,2
1,224.3605101,-5,13,0,0
-1,227.0459038,-9,-7,0,0
-1,227.3869145,-6,-2,0,0
-1,228.5416057,16,-9,0,0
-1,245.9329165,-4,-1,0,0
1,248.6346039,-2,40,0,1
1,269.2010286,-2,76,0,3
1,269.2290778,-2,58,0,4
1,276.0160122,-1,100,0,2
1,281.4335441,-8,6,0,0
-1,282.3742557,71,67,0,3
1,285.9869302,-7,-9,0,0
1,288.8516461,15,99,0,2
1,304.5863408,0,14,0,0
-1,307.8754798,34,28,0,1
1,310.6171697,7,80,0,3
-1,312.0106402,75,-1,0,3
1,315.102028,-5,-6,0,0
1,321.669633,0,48,0,4
-1,326.2162005,-9,-8,0,0
1,326.8946221,-3,0,0,0
1,328.3566989,-5,-6,0,0
1,328.4651172,-8,24,0,1
1,339.8670986,-9,10,0,0
1,356.7750172,-9,69,0,3
-1,369.8859276,0,-1,0,0
1,373.9444435,-4,34,0,1
1,374.7234962,-3,64,0,4
1,374.8932447,-1,100,0,2
1,379.3623974,-8,56,0,4
-1,385.0290807,35,-9,0,1
